"","Point.Forecast","Lo.10","Hi.10"
"1204",5.84645686497651,5.84301080301626,5.84990292693677
"1205",5.8447949909497,5.84018992701038,5.84940005488903
"1206",5.843042037014,5.8375388727048,5.8485452013232
"1207",5.84143692353826,5.83519526608292,5.84767858099359
"1208",5.83975541119315,5.83287140850424,5.84663941388205
"1209",5.83820566848554,5.83075905143698,5.8456522855341
"1210",5.83659220960696,5.82863710692827,5.84454731228565
"1211",5.83509640417148,5.82668337706822,5.84350943127474
"1212",5.83354782788353,5.82471296957545,5.84238268619161
"1213",5.83210449649672,5.8228836856993,5.84132530729415
"1214",5.8306178294713,5.82103744790446,5.84019821103815
"1215",5.82922549105594,5.8193127100051,5.83913827210678
"1216",5.82779794003419,5.81757317853864,5.83802270152975
"1217",5.82645510570418,5.8159398269239,5.83697038448446
"1218",5.82508404196595,5.81429467336464,5.83587341056727
"1219",5.82378922348885,5.81274322531947,5.83483522165823
"1220",5.82247216903112,5.81118312741057,5.83376121065168
"1221",5.82122388592254,5.80970631515391,5.83274145669118
"1222",5.81995850113801,5.80822386990317,5.83169313237285
"1223",5.81875528657427,5.80681586129703,5.83069471185151
"1224",5.81753935924778,5.80540497382822,5.82967374466733
"1225",5.81637976495878,5.80406092191784,5.82869860799973
"1226",5.81521120042221,5.80271643570395,5.82770596514046
"1227",5.81409380070541,5.80143220155961,5.82675539985121
"1228",5.81297061301185,5.80014966136885,5.82579156465486
"1229",5.81189400798959,5.7989216348405,5.82486638113867
"1230",5.81081431198512,5.79769712743992,5.82393149653032
"1231",5.80977713021161,5.79652210638491,5.82303215403831
"1232",5.80873913439817,5.79535214922696,5.82212611956938
"1233",5.80774003490853,5.79422725527595,5.82125281454112
"1234",5.80674203500488,5.79310871610146,5.82037535390829
"1235",5.80577970888614,5.79203133413523,5.81952808363705
"1236",5.80482008200546,5.79096137123981,5.81867879277111
"1237",5.80389325355912,5.78992910475393,5.81785740236431
"1238",5.80297045293195,5.78890512150712,5.81703578435679
"1239",5.80207788048838,5.78791575892085,5.81624000205591
"1240",5.80119043066847,5.78693536838972,5.81544549294721
"1241",5.80033090710527,5.7859868570777,5.81467495713284
"1242",5.79947739960361,5.78504785398848,5.81390694521874
"1243",5.79864975261329,5.78413827987978,5.8131612253468
"1244",5.79782884191246,5.78323861802339,5.81241906580154
"1245",5.79703193405847,5.78236618929165,5.81169767882528
"1246",5.79624233396516,5.7815039630455,5.81098070488482
"1247",5.79547506256018,5.78066699685784,5.81028312826252
"1248",5.79471554285905,5.77984042587341,5.80959065984469
"1249",5.79397683969485,5.77903733746306,5.80891634192664
"1250",5.79324622307125,5.77824475382594,5.80824769231656
"1251",5.79253505402526,5.7774740473562,5.80759606069433
"1252",5.79183221322843,5.776713884704,5.80695054175287
"1253",5.7911475777689,5.7759741455323,5.8063210100055
"1254",5.79047143299044,5.7752449297426,5.80569793623828
"1255",5.78981236359889,5.77453481779304,5.80508990940474
"1256",5.78916188004462,5.77383515894501,5.80448860114424
"1257",5.78852744157175,5.77315340296917,5.80390148017433
"1258",5.78790162720741,5.77248198834915,5.80332126606567
"1259",5.78729091617627,5.77182738090718,5.80275445144537
"1260",5.78668881962994,5.77118296887839,5.8021946703815
"1261",5.78610096349832,5.77055436191045,5.80164756508619
"1262",5.78552167210448,5.7699357765042,5.80110756770476
"1263",5.78495582849653,5.76933207739105,5.80057957960202
"1264",5.78439846646832,5.76873820350544,5.80005872943121
"1265",5.78385382238428,5.76815837153825,5.79954927323031
"1266",5.78331754910215,5.7675881506522,5.7990469475521
"1267",5.78279332011329,5.76703119384811,5.79855544637847
"1268",5.78227732851957,5.7664836201756,5.79807103686354
"1269",5.78177275795489,5.76594859238809,5.7975969235217
"1270",5.7812762730449,5.76542270941102,5.79712983667878
"1271",5.78079063117463,5.76490870769369,5.79667255465557
"1272",5.78031290857611,5.76440360502233,5.7962222121299
"1273",5.77984549179662,5.76390976721251,5.79578121638073
"1274",5.77938581643012,5.76342457773095,5.79534705512928
"1275",5.77893594645386,5.76295008022528,5.79492181268244
"1276",5.77849363126743,5.76248397748642,5.79450328504844
"1277",5.7780606543211,5.76202803318532,5.79409327545688
"1278",5.77763503909353,5.76158022902514,5.79368984916192
"1279",5.77721832512696,5.76114208542709,5.79329456482683
"1280",5.77680877533421,5.76071182777278,5.79290572289563
"1281",5.77640771724205,5.7602907652019,5.7925246692822
"1282",5.7760136229822,5.75987733605209,5.79214990991232
"1283",5.7756276358402,5.75947266600541,5.79178260567499
"1284",5.77524841081271,5.75907537956376,5.79142144206166
"1285",5.77487693112978,5.75868644316636,5.79106741909321
"1286",5.77451201166518,5.75830464411248,5.79071937921787
"1287",5.77415449665253,5.75793081067034,5.79037818263473
"1288",5.77380334078911,5.75756387255407,5.79004280902415
"1289",5.77345926764701,5.75720453819577,5.78971399709825
"1290",5.77312135425146,5.75685186194276,5.78939084656016
"1291",5.77279021947435,5.75650644834246,5.78907399060624
"1292",5.77246504740347,5.75616746086041,5.78876263394652
"1293",5.77214636610386,5.75583541403538,5.78845731817233
"1294",5.7718334534047,5.75550956691171,5.78815733989769
"1295",5.77152675865601,5.75519035608837,5.78786316122365
"1296",5.77122564180228,5.75487712437111,5.78757415923346
"1297",5.77093048400079,5.75457024091446,5.78729072708713
"1298",5.77064071716322,5.75426912196927,5.78701231235718
"1299",5.77035666340913,5.75397407837085,5.78673924844741
"1300",5.77007781775791,5.75368459080758,5.78647104470824
"1301",5.76980445125541,5.75340091972799,5.78620798278283
"1302",5.76953611429293,5.75312260239128,5.78594962619459
"1303",5.76927303376915,5.75284985575316,5.78569621178513
"1304",5.76901480869132,5.75258226677189,5.78544735061074
"1305",5.76876162783386,5.7523200149003,5.78520324076743
"1306",5.76851313291854,5.75206273079139,5.78496353504568
"1307",5.76826947983141,5.75181056159813,5.7847283980647
"1308",5.76803034785249,5.75156317642058,5.78449751928441
"1309",5.76779586453001,5.75132069462993,5.7842710344301
"1310",5.76756574219592,5.75108281918545,5.7840486652064
"1311",5.76734008401426,5.75084964559853,5.78383052242998
"1312",5.76711863142957,5.75062090667543,5.78361635618372
"1313",5.76690146665561,5.75039667747093,5.78340625584028
"1314",5.76668835680472,5.7501767171282,5.78319999648124
"1315",5.76647936612174,5.74996108319725,5.78299764904622
"1316",5.76627428437346,5.74974955808622,5.78279901066071
"1317",5.76607316042328,5.74954218439943,5.78260413644713
"1318",5.76587580405551,5.74933876512037,5.78241284299064
"1319",5.76568225099659,5.74913933012515,5.78222517186803
"1320",5.76549232873993,5.74894370061669,5.78204095686317
"1321",5.76530606182108,5.74875189566313,5.78186022797903
"1322",5.76512329342073,5.74856375262223,5.78168283421924
"1323",5.76494403856989,5.74837928141606,5.78150879572373
"1324",5.76476815436493,5.74819833374684,5.78133797498303
