Date,usdPRICE,usdopen,usdhigh,usdlow,Change ,Price,Open,High,Low
03 28 2014,77.62,77.4,77.65,77.37,-0.04,1.194153846,1.190769231,1.194615385,1.190307692
03 31 2014,77.79,77.37,77.8,77.37,0.22,1.196769231,1.190307692,1.196923077,1.190307692
04 01 2014,77.77,77.54,77.79,77.52,-0.03,1.196461538,1.192923077,1.196769231,1.192615385
04 02 2014,77.77,77.52,77.8,77.52,0,1.196461538,1.192615385,1.196923077,1.192615385
04 03 2014,77.73,77.52,77.77,77.48,-0.05,1.195846154,1.192615385,1.196461538,1.192
04 04 2014,77.72,77.48,77.73,77.47,-0.01,1.195692308,1.192,1.195846154,1.191846154
04 07 2014,77.68,77.47,77.72,77.43,-0.05,1.195076923,1.191846154,1.195692308,1.191230769
04 08 2014,77.77,77.43,77.8,77.43,0.12,1.196461538,1.191230769,1.196923077,1.191230769
04 09 2014,77.77,77.52,77.8,77.52,0,1.196461538,1.192615385,1.196923077,1.192615385
04 10 2014,77.75,77.52,78,77.5,-0.03,1.196153846,1.192615385,1.2,1.192307692
04 11 2014,77.72,77.5,77.75,77.47,-0.04,1.195692308,1.192307692,1.196153846,1.191846154
04 14 2014,77.7,77.47,77.72,77.45,-0.03,1.195384615,1.191846154,1.195692308,1.191538462
04 15 2014,77.67,77.45,77.7,77.42,-0.04,1.194923077,1.191538462,1.195384615,1.191076923
04 16 2014,77.65,77.42,77.67,77.4,-0.03,1.194615385,1.191076923,1.194923077,1.190769231
04 17 2014,77.65,77.4,77.65,77.4,0,1.194615385,1.190769231,1.194615385,1.190769231
04 18 2014,77.65,77.4,77.65,77.4,0,1.194615385,1.190769231,1.194615385,1.190769231
04 21 2014,77.65,77.4,77.83,77.4,0,1.194615385,1.190769231,1.197384615,1.190769231
04 22 2014,77.63,77.4,77.83,77.38,-0.03,1.194307692,1.190769231,1.197384615,1.190461538
04 23 2014,77.63,77.38,77.63,77.38,0,1.194307692,1.190461538,1.194307692,1.190461538
04 24 2014,77.6,77.38,77.63,77.35,-0.04,1.193846154,1.190461538,1.194307692,1.19
04 25 2014,77.58,77.35,77.6,77.33,-0.03,1.193538462,1.19,1.193846154,1.189692308
04 28 2014,77.55,77.33,77.8,77.3,-0.04,1.193076923,1.189692308,1.196923077,1.189230769
04 29 2014,77.78,77.3,77.8,77.3,0.3,1.196615385,1.189230769,1.196923077,1.189230769
04 30 2014,77.78,77.53,77.8,77.53,0,1.196615385,1.192769231,1.196923077,1.192769231
