Date,Price,Open,High,Low,Change 
05 23 2014,7.5485,7.5149,7.5514,7.5142,0.42
05 26 2014,7.5727,7.5473,7.6003,7.5323,0.32
05 27 2014,7.6155,7.572,7.6226,7.5636,0.57
05 28 2014,7.6021,7.6147,7.6384,7.5853,-0.18
05 29 2014,7.5999,7.6014,7.6207,7.5813,-0.03
05 30 2014,7.6352,7.5979,7.6357,7.5972,0.46
06 02 2014,7.629,7.6332,7.645,7.6169,-0.08
06 03 2014,7.654,7.6282,7.6658,7.6177,0.33
06 04 2014,7.6462,7.6526,7.6702,7.6359,-0.1
06 05 2014,7.644,7.6441,7.6574,7.6327,-0.03
06 06 2014,7.6331,7.6419,7.6509,7.6224,-0.14
06 09 2014,7.6379,7.6322,7.6383,7.6064,0.06
06 10 2014,7.6391,7.6368,7.6566,7.6264,0.02
06 11 2014,7.6551,7.637,7.6584,7.6356,0.21
06 12 2014,7.6494,7.6537,7.6593,7.6223,-0.07
06 13 2014,7.7029,7.6473,7.7158,7.6468,0.7
06 16 2014,7.7645,7.7014,7.7714,7.7012,0.8
06 17 2014,7.7832,7.7625,7.8077,7.7424,0.24
06 18 2014,7.7795,7.7812,7.8105,7.7467,-0.05
06 19 2014,7.7535,7.7773,7.7784,7.7214,-0.33
06 20 2014,7.7628,7.7525,7.7853,7.7521,0.12
06 23 2014,7.7614,7.7612,7.7797,7.7405,-0.02
06 24 2014,7.761,7.7591,7.7628,7.7488,-0.01
06 25 2014,7.7511,7.7594,7.7923,7.7485,-0.13
06 26 2014,7.7672,7.749,7.7739,7.7423,0.21
06 27 2014,7.7464,7.765,7.7678,7.743,-0.27
06 30 2014,7.7492,7.7436,7.7769,7.7394,0.04
07 01 2014,7.7495,7.7471,7.767,7.7463,0
07 02 2014,7.7021,7.7474,7.7538,7.6876,-0.61
07 03 2014,7.7081,7.7014,7.7211,7.68,0.08
07 04 2014,7.7063,7.7072,7.7197,7.6946,-0.02
07 07 2014,7.7359,7.7053,7.7492,7.7049,0.38
07 08 2014,7.7103,7.7337,7.7425,7.6943,-0.33
07 09 2014,7.7117,7.7081,7.7349,7.6988,0.02
07 10 2014,7.7671,7.7095,7.7706,7.6861,0.72
07 11 2014,7.7541,7.7662,7.7824,7.7301,-0.17
07 14 2014,7.758,7.752,7.7693,7.7286,0.05
07 15 2014,7.7579,7.7558,7.7741,7.7415,0
07 16 2014,7.7571,7.757,7.7768,7.7512,-0.01
07 17 2014,7.7649,7.7562,7.767,7.743,0.1
07 18 2014,7.7776,7.7642,7.8,7.7636,0.16
07 21 2014,7.7719,7.7769,7.7844,7.7609,-0.07
07 22 2014,7.7539,7.771,7.7799,7.7512,-0.23
07 23 2014,7.744,7.7515,7.7682,7.7341,-0.13
07 24 2014,7.758,7.7417,7.7633,7.7302,0.18
07 25 2014,7.7495,7.7557,7.767,7.741,-0.11
07 28 2014,7.7534,7.7473,7.7641,7.747,0.05
07 29 2014,7.7586,7.7519,7.7602,7.7516,0.07
07 30 2014,7.7502,7.7564,7.7736,7.7476,-0.11
07 31 2014,7.8134,7.7493,7.8146,7.7493,0.82
08 01 2014,7.8986,7.8125,7.9003,7.8125,1.09
08 04 2014,7.8638,7.8963,7.8976,7.8539,-0.44
08 05 2014,7.8516,7.863,7.8714,7.8305,-0.16
08 06 2014,7.9349,7.8508,7.9382,7.8497,1.06
08 07 2014,7.9015,7.9339,7.9416,7.8967,-0.42
08 08 2014,7.888,7.9007,7.9649,7.886,-0.17
08 11 2014,7.8923,7.8869,7.9035,7.8721,0.05
08 12 2014,7.8806,7.8914,7.8988,7.8781,-0.15
08 13 2014,7.8822,7.8797,7.9109,7.8794,0.02
08 14 2014,7.8399,7.8802,7.8854,7.8382,-0.54
08 15 2014,7.8422,7.839,7.851,7.8386,0.03
08 18 2014,7.842,7.8397,7.8424,7.8391,0
08 19 2014,7.8283,7.8398,7.8429,7.8241,-0.17
08 20 2014,7.8205,7.8276,7.8558,7.8073,-0.1
08 21 2014,7.8288,7.8197,7.8447,7.8192,0.11
08 22 2014,7.8023,7.8279,7.8297,7.7879,-0.34
08 25 2014,7.8151,7.801,7.8163,7.7929,0.16
08 26 2014,7.7974,7.8145,7.8163,7.7959,-0.23
08 27 2014,7.8005,7.7967,7.8079,7.7857,0.04
08 28 2014,7.8063,7.7996,7.8319,7.7876,0.07
08 29 2014,7.8088,7.8054,7.8131,7.8004,0.03
09 01 2014,7.8102,7.8065,7.811,7.7953,0.02
