Date,Price,Open,High,Low,Change
06 06 2014,18.4175,18.359,18.4355,18.328,0.34
06 09 2014,18.516,18.445,18.521,18.428,0.53
06 10 2014,18.4615,18.488,18.5355,18.437,-0.29
06 11 2014,18.4775,18.471,18.5355,18.431,0.09
06 12 2014,18.4835,18.466,18.4995,18.402,0.03
06 13 2014,18.5535,18.476,18.5845,18.444,0.38
06 16 2014,18.662,18.552,18.679,18.509,0.58
06 17 2014,18.7275,18.652,18.7525,18.595,0.35
06 18 2014,18.6485,18.673,18.7245,18.563,-0.42
06 19 2014,18.7035,18.664,18.7415,18.578,0.29
06 20 2014,18.6675,18.656,18.7445,18.633,-0.19
06 23 2014,18.6975,18.631,18.7385,18.631,0.16
06 24 2014,18.721,18.69,18.737,18.671,0.13
06 25 2014,18.635,18.686,18.724,18.623,-0.46
06 26 2014,18.7135,18.655,18.7285,18.625,0.42
06 27 2014,18.691,18.7,18.771,18.678,-0.12
06 30 2014,18.7045,18.681,18.7735,18.668,0.07
07 01 2014,18.7245,18.711,18.7715,18.697,0.11
07 02 2014,18.6335,18.707,18.7475,18.588,-0.49
07 03 2014,18.701,18.612,18.735,18.558,0.36
07 04 2014,18.746,18.693,18.784,18.676,0.24
07 07 2014,18.8005,18.742,18.8335,18.715,0.29
07 08 2014,18.8415,18.79,18.8855,18.777,0.22
07 09 2014,18.8385,18.828,18.8905,18.786,-0.02
07 10 2014,18.9175,18.831,18.9265,18.762,0.42
07 11 2014,18.8685,18.91,18.9265,18.804,-0.26
07 14 2014,18.9045,18.863,18.9325,18.84,0.19
07 15 2014,18.9045,18.869,18.9435,18.856,0
07 16 2014,18.8535,18.876,18.8835,18.77,-0.27
07 17 2014,18.9435,18.876,18.9435,18.827,0.48
07 18 2014,18.9365,18.91,18.9715,18.812,-0.04
07 21 2014,18.9895,18.926,19.0195,18.925,0.28
07 22 2014,18.9305,18.994,19.0135,18.918,-0.31
07 23 2014,18.9485,18.908,18.9975,18.908,0.1
07 24 2014,18.937,18.938,18.964,18.889,-0.06
07 25 2014,18.9195,18.929,18.9445,18.866,-0.09
07 28 2014,18.929,18.906,18.954,18.906,0.05
07 29 2014,18.9415,18.926,18.9445,18.918,0.07
07 30 2014,18.8675,18.901,18.9505,18.856,-0.39
07 31 2014,18.9415,18.875,18.9445,18.813,0.39
08 01 2014,19.0585,18.951,19.0615,18.854,0.62
08 04 2014,19.0335,19.048,19.0975,19.01,-0.13
08 05 2014,19.0905,19.044,19.1325,19.013,0.3
08 06 2014,19.2185,19.065,19.2265,18.999,0.67
08 07 2014,19.0945,19.193,19.2125,19.077,-0.65
08 08 2014,19.0635,19.057,19.2025,19.01,-0.16
08 11 2014,19.1325,19.079,19.1605,19.067,0.36
08 12 2014,19.1125,19.11,19.1685,19.096,-0.1
08 13 2014,19.134,19.102,19.221,19.099,0.11
08 14 2014,19.1175,19.135,19.2435,19.107,-0.09
08 15 2014,19.268,19.119,19.293,19.119,0.79
08 18 2014,19.2555,19.254,19.3105,19.236,-0.06
08 19 2014,19.216,19.266,19.295,19.196,-0.21
08 20 2014,19.1395,19.227,19.2345,19.112,-0.4
08 21 2014,19.1405,19.12,19.1655,19.072,0.01
08 22 2014,19.13,19.133,19.201,19.087,-0.05
08 25 2014,19.1555,19.086,19.1585,19.053,0.13
08 26 2014,19.128,19.124,19.165,19.075,-0.14
08 27 2014,19.2045,19.12,19.2185,19.111,0.4
08 28 2014,19.214,19.227,19.276,19.162,0.05
08 29 2014,19.2035,19.205,19.2185,19.144,-0.05
09 01 2014,19.2065,19.19,19.2085,19.163,0.02
09 02 2014,19.0805,19.196,19.2095,19.033,-0.66
09 03 2014,19.028,19.064,19.096,18.969,-0.28
09 04 2014,18.9935,19.017,19.0655,18.984,-0.18
09 05 2014,18.9685,18.956,19.0055,18.87,-0.13
09 08 2014,18.9905,18.961,19.0575,18.961,0.12
09 09 2014,18.9985,18.944,19.0105,18.861,0.04
09 10 2014,19.032,18.979,19.064,18.938,0.18
09 11 2014,19.0825,19.049,19.0835,18.998,0.27
09 12 2014,18.9725,19.048,19.0735,18.962,-0.58
09 15 2014,18.9415,18.965,19.0035,18.883,-0.16
09 16 2014,18.9275,18.909,18.9605,18.904,-0.07
09 17 2014,18.9355,18.92,18.9955,18.898,0.04
09 18 2014,18.7965,18.901,18.9145,18.783,-0.73
09 19 2014,18.8305,18.783,18.8425,18.69,0.18
09 22 2014,18.79,18.804,18.878,18.731,-0.22
09 23 2014,18.818,18.756,18.818,18.699,0.15
09 24 2014,18.8015,18.79,18.8435,18.764,-0.09
09 25 2014,18.855,18.788,18.881,18.739,0.28
09 26 2014,18.765,18.822,18.893,18.715,-0.48
09 29 2014,18.777,18.755,18.801,18.672,0.06
09 30 2014,18.884,18.764,18.884,18.764,0.57
10 01 2014,18.862,18.851,18.892,18.78,-0.12
10 02 2014,18.928,18.849,18.97,18.842,0.35
10 03 2014,18.8935,18.913,18.9685,18.867,-0.18
10 06 2014,18.8935,18.882,18.8935,18.882,0
10 07 2014,18.811,18.847,18.868,18.791,-0.44
10 08 2014,18.75,18.801,18.81,18.712,-0.32
10 09 2014,18.8415,18.741,18.9805,18.741,0.49
10 10 2014,18.8135,18.808,18.8385,18.73,-0.15
10 13 2014,18.706,18.8,18.819,18.696,-0.57
10 14 2014,18.797,18.696,18.821,18.693,0.49
10 15 2014,18.725,18.787,18.796,18.674,-0.38
10 16 2014,18.848,18.716,18.878,18.713,0.66
10 17 2014,18.7375,18.815,18.8565,18.714,-0.59
10 20 2014,18.715,18.733,18.763,18.681,-0.12
10 21 2014,18.7435,18.705,18.8265,18.705,0.15
10 22 2014,18.7585,18.713,18.7945,18.689,0.08
10 23 2014,18.6895,18.763,18.7745,18.628,-0.37
10 24 2014,18.661,18.678,18.687,18.618,-0.15
10 27 2014,18.7135,18.646,18.7355,18.646,0.28
10 28 2014,18.692,18.7,18.752,18.658,-0.11
10 29 2014,18.729,18.707,18.765,18.694,0.2
10 30 2014,18.6835,18.716,18.7265,18.613,-0.24
10 31 2014,18.6615,18.684,18.7265,18.626,-0.12
11 03 2014,18.514,18.637,18.648,18.474,-0.79
11 04 2014,18.44,18.48,18.493,18.398,-0.4
11 05 2014,18.38,18.41,18.426,18.342,-0.33
11 06 2014,18.4325,18.389,18.4445,18.345,0.29
11 07 2014,18.386,18.394,18.44,18.347,-0.25
11 10 2014,18.461,18.382,18.487,18.376,0.41
11 11 2014,18.3815,18.432,18.4405,18.37,-0.43
11 12 2014,18.406,18.393,18.456,18.373,0.13
11 13 2014,18.4595,18.399,18.4715,18.366,0.29
11 14 2014,18.4385,18.448,18.4825,18.39,-0.11
11 17 2014,18.4735,18.403,18.4835,18.403,0.19
11 18 2014,18.409,18.437,18.462,18.388,-0.35
11 19 2014,18.436,18.376,18.455,18.368,0.15
11 20 2014,18.3985,18.41,18.5045,18.378,-0.2
11 21 2014,18.416,18.407,18.488,18.38,0.1
11 24 2014,18.452,18.406,18.506,18.406,0.2
11 25 2014,18.4505,18.441,18.5375,18.421,-0.01
11 26 2014,18.441,18.457,18.534,18.428,-0.05
11 27 2014,18.479,18.442,18.5,18.42,0.21
11 28 2014,18.3915,18.434,18.4465,18.302,-0.47
12 01 2014,18.044,18.379,18.39,18.033,-1.89
12 02 2014,18.0555,18.044,18.1375,18.034,0.06
12 03 2014,17.9755,18.02,18.0325,17.94,-0.44
12 04 2014,17.9305,17.95,17.9805,17.921,-0.25
12 05 2014,17.8415,17.916,17.9385,17.789,-0.5
12 08 2014,17.6895,17.816,17.8235,17.658,-0.85
12 09 2014,17.766,17.692,17.79,17.677,0.43
12 10 2014,17.8515,17.763,17.8705,17.668,0.48
12 11 2014,17.9105,17.822,17.9105,17.735,0.33
12 12 2014,17.89,17.879,17.918,17.777,-0.11
12 15 2014,18.068,17.867,18.068,17.805,0.99
12 16 2014,18.2485,17.982,18.2485,17.953,1
12 17 2014,18.2385,18.247,18.3295,18.159,-0.05
12 18 2014,18.1735,18.241,18.3145,18.161,-0.36
12 19 2014,18.192,18.163,18.219,18.103,0.1
12 22 2014,18.1335,18.183,18.2005,18.099,-0.32
12 23 2014,18.1465,18.103,18.1615,18.07,0.07
12 24 2014,18.1695,18.133,18.1825,18.116,0.13
12 25 2014,18.1695,18.163,18.1695,18.163,0
12 26 2014,18.21,18.168,18.262,18.137,0.22
12 29 2014,18.207,18.196,18.22,18.17,-0.02
12 30 2014,18.1205,18.185,18.2165,18.105,-0.48
12 31 2014,18.028,18.119,18.159,18.019,-0.51
01 01 2015,18.1195,18.059,18.1485,18.059,0.51
01 02 2015,17.9995,18.11,18.1275,17.98,-0.66
01 05 2015,17.927,17.98,17.989,17.863,-0.4
01 06 2015,17.8755,17.903,17.9095,17.799,-0.29
01 07 2015,17.671,17.839,17.866,17.633,-1.14
01 08 2015,17.573,17.678,17.791,17.542,-0.55
01 09 2015,17.503,17.574,17.664,17.482,-0.4
01 12 2015,17.4025,17.513,17.6015,17.392,-0.57
01 13 2015,17.248,17.361,17.4,17.235,-0.89
01 14 2015,17.2775,17.247,17.3425,17.235,0.17
01 15 2015,17.417,17.281,17.428,17.266,0.81
01 16 2015,17.3865,17.428,17.4485,17.306,-0.18
01 19 2015,17.2605,17.378,17.4305,17.249,-0.72
01 20 2015,17.053,17.249,17.257,17.042,-1.2
01 21 2015,17.034,17.054,17.064,16.978,-0.11
01 22 2015,17.1055,17.012,17.1405,16.984,0.42
01 23 2015,17.0595,17.106,17.1995,16.998,-0.27
01 26 2015,16.9885,17.05,17.0675,16.967,-0.42
