"","Point.Forecast","Lo.10","Hi.10"
"1011",208.240372534522,208.147702351463,208.333042717581
"1012",208.266446457,208.129153593386,208.403739320614
"1013",208.244156178549,208.073197382109,208.415114974988
"1014",208.19427015447,207.995018978474,208.393521330466
"1015",208.162831312244,207.938860577068,208.38680204742
"1016",208.178662217154,207.932662810626,208.424661623681
"1017",208.226942734275,207.960927640608,208.492957827941
"1018",208.263080627269,207.978461672622,208.547699581915
"1019",208.253896195066,207.951652832136,208.556139557996
"1020",208.20808450329,207.889014483335,208.527154523245
"1021",208.167989209637,207.832905562786,208.503072856488
"1022",208.170465519741,207.8202261503,208.520704889181
"1023",208.213004507722,207.848396890072,208.577612125372
"1024",208.256254657355,207.877871608659,208.634637706051
"1025",208.260423562856,207.868652596543,208.652194529168
"1026",208.221887871909,207.817026020382,208.626749723436
"1027",208.176330538174,207.758726769949,208.593934306399
"1028",208.165700705803,207.735805369266,208.59559604234
"1029",208.199588063115,207.75787619332,208.64129993291
"1030",208.246576125387,207.793426491561,208.699725759213
"1031",208.263366571733,207.799009581301,208.727723562166
"1032",208.234676530985,207.759254969597,208.710098092374
"1033",208.187146370139,207.700832961594,208.673459778685
"1034",208.164604238395,207.667670642793,208.661537833997
"1035",208.187652591299,207.680430809677,208.694874372921
"1036",208.234840611203,207.717619051492,208.752062170914
"1037",208.262626173335,207.735578442483,208.789673904188
"1038",208.245552775239,207.708761235395,208.782344315084
"1039",208.199570529341,207.65312106532,208.746019993362
"1040",208.16713814977,207.611199822073,208.723076477466
"1041",208.178018771588,207.612836660679,208.743200882497
"1042",208.221967790987,207.647779770589,208.796155811385
"1043",208.258374435652,207.675331530677,208.841417340626
"1044",208.253786821557,207.661948257221,208.845625385893
"1045",208.212647644824,207.612052698462,208.813242591187
"1046",208.173001610417,207.563752325572,208.782250895263
"1047",208.171313519282,207.553592669055,208.789034369508
"1048",208.208930555808,207.582940638819,208.834920472797
"1049",208.251033325664,207.616915914127,208.885150737202
"1050",208.258864505659,207.616673350937,208.901055660381
"1051",208.225405508757,207.575155618261,208.875655399253
"1052",208.181661247856,207.523408491292,208.83991400442
"1053",208.167930601108,207.5018087612,208.834052441016
"1054",208.196682533975,207.522864738282,208.870500329668
"1055",208.24123599481,207.559858837271,208.92261315235
"1056",208.260517763565,207.571638313053,208.949397214076
"1057",208.236926336905,207.540549318293,208.933303355518
"1058",208.192397408008,207.488546824475,208.896247991541
"1059",208.168009474274,207.456778901616,208.879240046932
"1060",208.186089340605,207.467624862355,208.904553818856
"1061",208.229773944955,207.50420757864,208.955340311269
"1062",208.258736233048,207.526132343217,208.99134012288
"1063",208.246411783305,207.50677405904,208.986049507569
"1064",208.204362482384,207.457693935273,208.951031029494
"1065",208.171433303549,207.417794218741,208.925072388357
"1066",208.177868435799,207.41737884157,208.938358030029
"1067",208.217534371255,207.450320121549,208.984748620961
