"","Point.Forecast","Lo.10","Hi.10"
"1011",1.52335724258769,1.52270435620212,1.52401012897325
"1012",1.52363290581915,1.52275867727474,1.52450713436357
"1013",1.52326830605186,1.52223106701582,1.5243055450879
"1014",1.52343412878957,1.52223652317616,1.52463173440299
"1015",1.52322041317814,1.52188776768421,1.52455305867206
"1016",1.52332006302579,1.52185519982147,1.52478492623011
"1017",1.52319474700533,1.52161192105688,1.52477757295377
"1018",1.5232545755984,1.52155704401348,1.52495210718333
"1019",1.52318106952575,1.5213778700679,1.52498426898359
"1020",1.52321695921639,1.52131135226133,1.52512256617145
"1021",1.52317382897058,1.52117201209963,1.52517564584152
"1022",1.52319534122261,1.52110034167902,1.5252903407662
"1023",1.52317002618493,1.52098635429816,1.5253536980717
"1024",1.52318291109363,1.5209132770426,1.52545254514466
"1025",1.52316804800621,1.52081589341425,1.52552020259816
"1026",1.52317576020233,1.52074347175436,1.5256080486503
"1027",1.52316703110738,1.52065733716506,1.5256767250497
"1028",1.52317164424167,1.52058663461517,1.52575665386818
"1029",1.52316651615798,1.52050842135812,1.52582461095785
"1030",1.52316927390117,1.52043992421893,1.52589862358341
"1031",1.52316626045999,1.5203675250837,1.52596499583629
"1032",1.52316790812194,1.52030139570928,1.52603442053459
"1033",1.52316613683816,1.52023344528786,1.52609882838846
"1034",1.52316712074616,1.52016967136691,1.52616457012541
"1035",1.52316607932228,1.52010526026591,1.52622689837864
"1036",1.52316666657803,1.52004374123859,1.52628959191747
"1037",1.52316605411892,1.51998224436763,1.5263498638702
"1038",1.52316640446694,1.51992284039808,1.52640996853581
"1039",1.52316604419277,1.51986381301908,1.52646827536646
"1040",1.52316625311465,1.51980637195559,1.5265261342737
"1041",1.52316604113606,1.51974948617069,1.52658259610143
"1042",1.52316616567103,1.5196938577445,1.52663847359756
"1043",1.52316604091828,1.51963886324694,1.52669321858962
"1044",1.52316611512315,1.51958490599738,1.52674732424892
"1045",1.52316604168799,1.51953160547375,1.52680047790222
"1046",1.52316608588744,1.51947918962169,1.5268529821532
"1047",1.52316604265096,1.51942742307131,1.52690466223061
"1048",1.52316606896902,1.51937643121062,1.52695570672743
"1049",1.52316604350742,1.51932606574498,1.52700602126986
"1050",1.5231660591732,1.51927639242173,1.52705572592467
"1051",1.52316604417611,1.5192273154718,1.52710477288041
"1052",1.52316605349832,1.51917886625145,1.52715324074518
"1053",1.52316604466323,1.51913098092507,1.52720110840139
"1054",1.523166050209,1.51908367127545,1.52724842914255
"1055",1.52316604500312,1.51903689309464,1.5272951969116
"1056",1.5231660483014,1.51899064725601,1.52734144934679
"1057",1.52316604523341,1.51894490179793,1.52738718866888
"1058",1.52316604719453,1.51889965172339,1.52743244266567
"1059",1.52316604538615,1.51885487286642,1.52747721790588
"1060",1.52316604655193,1.51881055726723,1.52752153583663
"1061",1.52316604548584,1.51876668585248,1.5275654051192
"1062",1.52316604617867,1.51872324935721,1.52760884300013
"1063",1.52316604555008,1.51868023214261,1.52765185895755
"1064",1.52316604596175,1.51863762456593,1.52769446735757
"1065",1.52316604559107,1.5185954133919,1.52773667779023
"1066",1.52316604583562,1.51855358910303,1.52777850256821
"1067",1.52316604561699,1.51851214021502,1.52781995101896
"1068",1.52316604576225,1.51847105759408,1.52786103393042
"1069",1.52316604563328,1.51843033108419,1.52790176018237
"1070",1.52316604571954,1.51838995205438,1.5279421393847
"1071",1.52316604564346,1.51834991139535,1.52798217989156
"1072",1.52316604569467,1.51831020102015,1.52802189036919
"1073",1.52316604564978,1.51827081267227,1.52806127862729
"1074",1.52316604568018,1.51823173880779,1.52810035255257
"1075",1.52316604565369,1.51819297188447,1.52813911942291
"1076",1.52316604567173,1.51815450487866,1.52817758646481
"1077",1.5231660456561,1.5181163308597,1.5282157604525
"1078",1.52316604566681,1.51807844329129,1.52825364804233
"1079",1.52316604565758,1.51804083577539,1.52829125553977
"1080",1.52316604566394,1.51800350222657,1.5283285891013
"1081",1.52316604565849,1.51796643671664,1.52836565460034
"1082",1.52316604566226,1.51792963357435,1.52840245775016
"1083",1.52316604565904,1.51789308729015,1.52843900402794
"1084",1.52316604566128,1.51785679257198,1.52847529875058
"1085",1.52316604565938,1.51782074428602,1.52851134703274
"1086",1.52316604566071,1.5177849374869,1.52854715383451
"1087",1.52316604565959,1.51774936738004,1.52858272393913
"1088",1.52316604566037,1.51771402933701,1.52861806198373
"1089",1.52316604565971,1.51767891887093,1.52865317244849
"1090",1.52316604566018,1.51764403164333,1.52868805967702
"1091",1.52316604565979,1.51760936344751,1.52872272787206
"1092",1.52316604566006,1.51757491021059,1.52875718110953
"1093",1.52316604565983,1.51754066798181,1.52879142333785
"1094",1.52316604566,1.51750663293195,1.52882545838804
"1095",1.52316604565986,1.51747280134467,1.52885928997505
"1096",1.52316604565996,1.51743916961463,1.52889292170528
"1097",1.52316604565988,1.51740573424082,1.52892635707894
"1098",1.52316604565993,1.51737249182394,1.52895959949593
"1099",1.52316604565989,1.51733943906113,1.52899265225864
"1100",1.52316604565992,1.51730657274312,1.52902551857672
"1101",1.52316604565989,1.51727388974981,1.52905820156998
"1102",1.52316604565991,1.5172413870474,1.52909070427242
"1103",1.5231660456599,1.51720906168469,1.5291230296351
"1104",1.52316604565991,1.51717691079025,1.52915518052956
"1105",1.5231660456599,1.51714493156922,1.52918715975057
"1106",1.5231660456599,1.51711312130064,1.52921897001917
"1107",1.5231660456599,1.51708147733461,1.52925061398518
"1108",1.5231660456599,1.51704999708986,1.52928209422994
"1109",1.5231660456599,1.51701867805115,1.52931341326865
"1110",1.5231660456599,1.51698751776701,1.52934457355279
"1111",1.5231660456599,1.5169565138475,1.5293755774723
"1112",1.5231660456599,1.51692566396202,1.52940642735779
"1113",1.5231660456599,1.51689496583731,1.5294371254825
"1114",1.5231660456599,1.51686441725548,1.52946767406432
"1115",1.5231660456599,1.51683401605215,1.52949807526765
"1116",1.5231660456599,1.51680376011463,1.52952833120517
"1117",1.5231660456599,1.51677364738026,1.52955844393954
"1118",1.5231660456599,1.5167436758347,1.5295884154851
"1119",1.5231660456599,1.51671384351043,1.52961824780937
"1120",1.5231660456599,1.51668414848518,1.52964794283463
"1121",1.5231660456599,1.51665458888052,1.52967750243928
"1122",1.5231660456599,1.51662516286048,1.52970692845933
"1123",1.5231660456599,1.51659586863018,1.52973622268962
"1124",1.5231660456599,1.5165667044346,1.5297653868852
"1125",1.5231660456599,1.51653766855732,1.52979442276248
"1126",1.5231660456599,1.51650875931935,1.52982333200045
"1127",1.5231660456599,1.51647997507801,1.52985211624179
"1128",1.5231660456599,1.5164513142258,1.529880777094
"1129",1.5231660456599,1.51642277518941,1.52990931613039
"1130",1.5231660456599,1.51639435642868,1.52993773489112
"1131",1.5231660456599,1.51636605643562,1.52996603488418
"1132",1.5231660456599,1.51633787373351,1.52999421758629
"1133",1.5231660456599,1.51630980687596,1.53002228444384
"1134",1.5231660456599,1.51628185444608,1.53005023687372
"1135",1.5231660456599,1.51625401505562,1.53007807626418
"1136",1.5231660456599,1.51622628734419,1.53010580397562
"1137",1.5231660456599,1.51619866997844,1.53013342134136
"1138",1.5231660456599,1.51617116165138,1.53016092966842
"1139",1.5231660456599,1.5161437610816,1.5301883302382
"1140",1.5231660456599,1.51611646701258,1.53021562430722
"1141",1.5231660456599,1.51608927821206,1.53024281310774
"1142",1.5231660456599,1.51606219347135,1.53026989784846
"1143",1.5231660456599,1.5160352116047,1.53029687971511
"1144",1.5231660456599,1.51600833144872,1.53032375987108
"1145",1.5231660456599,1.5159815518618,1.530350539458
"1146",1.5231660456599,1.5159548717235,1.5303772195963
"1147",1.5231660456599,1.51592828993405,1.53040380138575
"1148",1.5231660456599,1.5159018054138,1.53043028590601
"1149",1.5231660456599,1.51587541710269,1.53045667421711
"1150",1.5231660456599,1.51584912395981,1.53048296735999
"1151",1.5231660456599,1.51582292496286,1.53050916635694
"1152",1.5231660456599,1.51579681910772,1.53053527221208
"1153",1.5231660456599,1.515770805408,1.53056128591181
"1154",1.5231660456599,1.51574488289458,1.53058720842523
"1155",1.5231660456599,1.51571905061522,1.53061304070458
"1156",1.5231660456599,1.51569330763415,1.53063878368565
"1157",1.5231660456599,1.51566765303164,1.53066443828816
"1158",1.5231660456599,1.51564208590365,1.53069000541615
"1159",1.5231660456599,1.51561660536146,1.53071548595834
"1160",1.5231660456599,1.51559121053128,1.53074088078852
"1161",1.5231660456599,1.51556590055393,1.53076619076587
"1162",1.5231660456599,1.51554067458448,1.53079141673532
"1163",1.5231660456599,1.51551553179194,1.53081655952786
"1164",1.5231660456599,1.51549047135892,1.53084161996089
"1165",1.5231660456599,1.51546549248133,1.53086659883847
"1166",1.5231660456599,1.5154405943681,1.53089149695171
"1167",1.5231660456599,1.51541577624084,1.53091631507897
"1168",1.5231660456599,1.51539103733359,1.53094105398621
"1169",1.5231660456599,1.51536637689256,1.53096571442724
"1170",1.5231660456599,1.51534179417581,1.53099029714399
"1171",1.5231660456599,1.51531728845304,1.53101480286676
"1172",1.5231660456599,1.51529285900529,1.53103923231451
