"","Point.Forecast","Lo.10","Hi.10"
"1008",9.81657912118607,9.81236884843133,9.82078939394082
"1009",9.81632500468514,9.81046352979895,9.82218647957132
"1010",9.81317594471387,9.80623597531601,9.82011591411174
"1011",9.81581242881929,9.80789666308434,9.82372819455424
"1012",9.81590868483407,9.80704688691399,9.82477048275415
"1013",9.81402683571307,9.80439132931212,9.82366234211401
"1014",9.81543236068222,9.80506756690716,9.82579715445728
"1015",9.81562282177662,9.80453846734102,9.82670717621222
"1016",9.8145107937414,9.80278721759012,9.82623436989269
"1017",9.81524981775668,9.80291662211789,9.82758301339546
"1018",9.81543393845502,9.80249990698481,9.82836796992524
"1019",9.8147835709139,9.8012925695484,9.82827457227941
"1020",9.81516595145477,9.80113977740036,9.82919212550918
"1021",9.81531260279681,9.80076027618533,9.82986492940829
"1022",9.814935914636,9.79988406464771,9.82998776462429
"1023",9.81512997086302,9.79959523849236,9.83066470323369
"1024",9.81523634761033,9.79922753577693,9.83124515944373
"1025",9.81502019594395,9.79855494699875,9.83148544488915
"1026",9.81511632035208,9.79820764183472,9.83202499886945
"1027",9.81518926980043,9.79784536896501,9.83253317063586
"1028",9.81506636135069,9.79729983269448,9.8328328900069
"1029",9.81511248091223,9.79693371172418,9.83329125010028
"1030",9.8151606383257,9.79657707132258,9.83374420532881
"1031",9.81509138015413,9.79611257831962,9.83407018198864
"1032",9.81511253684283,9.79574696930449,9.83447810438116
"1033",9.81514345109685,9.79539776891159,9.83488913328212
"1034",9.81510478110891,9.79498660672513,9.83522295549268
"1035",9.81511383528847,9.79463021188853,9.83559745868841
"1036",9.81513325313665,9.79429008715357,9.83597641911973
"1037",9.81511186551477,9.79391546015218,9.83630827087737
"1038",9.81511528364142,9.79357160355591,9.83665896372693
"1039",9.81512726621231,9.79324155126068,9.83701298116394
"1040",9.81511555444809,9.79289316095001,9.83733794794616
"1041",9.81511650152548,9.79256256292979,9.83767044012117
"1042",9.81512378616012,9.79224296112728,9.83800461119297
"1043",9.81511744109557,9.79191437408901,9.83832050810212
"1044",9.81511741090824,9.79159658230533,9.83863823951115
"1045",9.81512178230585,9.79128735072596,9.83895621388574
"1046",9.81511838484622,9.79097443900809,9.83926233068436
"1047",9.81511804604731,9.79066854346293,9.83956754863168
"1048",9.81512063898799,9.79036931041344,9.83987196756253
"1049",9.81511884363262,9.79006933081943,9.8401683564458
"1050",9.8151184707359,9.78977430511942,9.84046263635238
"1051",9.81511999253787,9.7894845389926,9.84075544608314
"1052",9.815119058107,9.78919559050445,9.84104252570955
"1053",9.81511874599448,9.78891044294815,9.8413270490408
"1054",9.81511963034074,9.78862954308553,9.84160971759594
"1055",9.81511915270739,9.78835024684108,9.8418880585737
"1056",9.81511892020953,9.78807407798601,9.84216376243305
"1057",9.81511942929356,9.78780143194325,9.84243742664386
"1058",9.81511919053662,9.78753074164537,9.84270763942787
"1059",9.815119028392,9.78726275814805,9.84297529863595
"1060",9.81511931878048,9.7869977747429,9.84324086281807
