Date,Price,Open,High,Low,Change ,calamities
04 07 2017,64.27,64.599,64.744,64.154,-0.52,
04 10 2017,64.605,64.325,64.61,64.325,0.52,
04 11 2017,64.555,64.575,64.695,64.41,-0.08,
04 12 2017,64.69,64.625,64.73,64.535,0.21,
4 13 2017,64.445,64.455,64.493,64.272,-0.38,
4 14 2017,64.48,64.443,64.48,64.443,0.05,
4 17 2017,64.48,64.44,64.55,64.305,0,
4 18 2017,64.605,64.515,64.655,64.485,0.19,
4 19 2017,64.665,64.575,64.665,64.525,0.09,
4 20 2017,64.62,64.64,64.727,64.536,-0.07,
4 21 2017,64.65,64.66,64.69,64.565,0.05,
4 24 2017,64.49,64.537,64.542,64.41,-0.25,
4 25 2017,64.33,64.425,64.425,64.215,-0.25,
4 26 2017,64.13,64.32,64.33,63.94,-0.31,
4 27 2017,64.115,64.065,64.175,63.985,-0.02,
4 28 2017,64.29,64.13,64.4,64.13,0.27,
05 01 2017,64.255,64.285,64.285,64.255,-0.05,
05 02 2017,64.165,64.147,64.25,64.125,-0.14,
05 03 2017,64.165,64.14,64.2,64.115,0,
05 04 2017,64.215,64.195,64.25,64.18,0.08,
05 05 2017,64.315,64.235,64.395,64.235,0.16,
05 08 2017,64.36,64.26,64.385,64.21,0.07,
05 09 2017,64.68,64.44,64.705,64.44,0.5,
05 10 2017,64.615,64.694,64.694,64.555,-0.1,
05 11 2017,64.405,64.595,64.595,64.35,-0.33,
05 12 2017,64.243,64.305,64.377,64.243,-0.25,
5 15 2017,64.065,64.13,64.18,64.025,-0.28,
5 16 2017,64.045,64.075,64.165,64.04,-0.03,
5 17 2017,64.13,64,64.175,63.99,0.13,
5 18 2017,64.88,64.4,64.92,64.327,1.17,
5 19 2017,64.565,64.725,65.025,64.565,-0.49,
5 22 2017,64.51,64.53,64.655,64.46,-0.09,
5 23 2017,64.895,64.685,64.92,64.655,0.6,
5 24 2017,64.77,64.93,64.97,64.715,-0.19,
5 25 2017,64.555,64.578,64.65,64.48,-0.33,
5 26 2017,64.51,64.565,64.63,64.425,-0.07,
5 29 2017,64.54,64.485,64.595,64.455,0.05,
5 30 2017,64.635,64.645,64.707,64.605,0.15,
5 31 2017,64.51,64.605,64.605,64.46,-0.19,
06 01 2017,64.478,64.525,64.598,64.433,-0.05,floods
06 02 2017,64.415,64.345,64.52,64.345,-0.1,floods
06 05 2017,64.35,64.32,64.4,64.29,-0.1,floods
06 06 2017,64.43,64.34,64.485,64.315,0.12,floods
06 07 2017,64.435,64.515,64.535,64.315,0.01,floods
06 08 2017,64.25,64.41,64.43,64.208,-0.29,floods
06 09 2017,64.245,64.275,64.34,64.167,-0.01,floods
06 12 2017,64.48,64.35,64.49,64.32,0.37,floods
6 13 2017,64.345,64.455,64.515,64.345,-0.21,floods
6 14 2017,64.235,64.335,64.367,64.235,-0.17,floods
6 15 2017,64.565,64.295,64.62,64.26,0.51,floods
6 16 2017,64.465,64.69,64.75,64.405,-0.15,floods
6 19 2017,64.495,64.445,64.505,64.34,0.05,floods
6 20 2017,64.54,64.485,64.54,64.412,0.07,floods
6 21 2017,64.53,64.635,64.68,64.49,-0.02,floods
6 22 2017,64.605,64.545,64.63,64.455,0.12,floods
6 23 2017,64.505,64.585,64.618,64.445,-0.15,floods
6 26 2017,64.435,64.465,64.465,64.435,-0.11,floods
6 27 2017,64.475,64.485,64.545,64.405,0.06,floods
6 28 2017,64.525,64.575,64.66,64.51,0.08,floods
6 29 2017,64.66,64.455,64.69,64.442,0.21,floods
6 30 2017,64.62,64.73,64.84,64.575,-0.06,floods
07 03 2017,64.845,64.655,64.91,64.635,0.35,floods
07 04 2017,64.79,64.805,64.897,64.705,-0.08,floods
07 05 2017,64.8,64.705,64.865,64.675,0.02,floods
07 06 2017,64.725,64.755,64.808,64.705,-0.12,floods
07 07 2017,64.625,64.775,64.775,64.54,-0.15,floods
07 10 2017,64.475,64.585,64.597,64.475,-0.23,floods
07 11 2017,64.565,64.465,64.605,64.46,0.14,"floods,terrorist attack"
07 12 2017,64.475,64.535,64.6,64.475,-0.14,floods
7 13 2017,64.46,64.398,64.475,64.398,-0.02,floods
7 14 2017,64.424,64.488,64.525,64.424,-0.06,floods
7 17 2017,64.345,64.365,64.407,64.345,-0.12,floods
7 18 2017,64.316,64.37,64.415,64.316,-0.05,floods
7 19 2017,64.27,64.37,64.37,64.26,-0.07,floods
7 20 2017,64.375,64.345,64.46,64.325,0.16,floods
